CountryID,Country Name,WEBNAME,Region,World Rank,Region Rank,2021 Score,Property Rights,Judical Effectiveness,Government Integrity,Tax Burden,Govt Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial Freedom,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Govt Expenditure % of GDP ,Country,Population (Millions),"GDP (Billions, PPP)",GDP Growth Rate (%),5 Year GDP Growth Rate (%),GDP per Capita (PPP),Unemployment (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP)
1,Afghanistan,Afghanistan,Asia-Pacific,146,33,53.0,30.3,25.7,29.1,91.1,76.1,99.9,53.9,59.9,80.8,68.6,10,10,5.7,20.0,20.0,9.3,28.2,Afghanistan,38.0,$76.60,3.0,2.3,"$2,294.00",11.1,2.3,38.5,7.3
2,Albania,Albania,Europe,66,35,65.2,46.1,22.8,40.6,89.0,74.6,86.6,66.1,51.6,82.0,82.8,70,70,3.6,23.0,15.0,18.6,29.1,Albania,2.9,$39.80,2.2,3.1,"$14,495.00",12.3,1.4,"1,281.3",68.8
3,Algeria,Algeria,Middle East and North Africa,162,13,49.7,34.0,41.6,32.7,67.2,55.4,49.1,63.5,51.3,84.3,57.4,30,30,13.8,35.0,26.0,37.2,38.5,Algeria,43.1,$668.80,0.7,2.1,"$11,820.00",11.7,2.0,"1,381.9",46.3
4,Angola,Angola,Sub-Saharan Africa,140,30,54.2,30.3,22.8,20.4,87.3,86.9,77.9,56.9,59.6,67.5,70.2,30,40,7.4,17.0,30.0,9.2,20.9,Angola,31.8,$200.80,-1.5,-0.9,"$6,930.00",6.9,17.1,"-4,098.5",109.8
5,Argentina,Argentina,Americas,148,26,52.7,46.1,45.7,54.0,70.4,52.8,38.4,59.5,46.3,41.9,62.6,55,60,13.7,35.0,30.0,28.9,39.6,Argentina,44.9,$911.60,-2.2,-0.3,"$22,947.00",9.8,53.5,"6,244.4",88.7
6,Armenia,Armenia,Europe,32,18,71.9,57.3,55.3,45.0,87.1,81.3,84.3,81.9,74.5,76.9,73.8,75,70,5.6,23.0,18.0,20.9,25.0,Armenia,3.0,$33.40,7.6,4.8,"$14,220.00",17.0,1.4,254.5,53.4
7,Australia,Australia,Asia-Pacific,3,3,82.4,81.5,90.0,89.8,62.6,58.1,88.7,87.4,84.1,86.7,89.8,80,90,2.6,45.0,30.0,28.5,37.4,Australia,25.4,"$1,362.10",1.8,2.4,"$53,320.00",5.3,1.6,"36,156.2",45.0
8,Austria,Austria,Europe,25,13,73.9,86.8,83.5,84.8,45.7,29.1,90.0,72.6,68.4,81.7,84.0,90,70,3.0,55.0,25.0,42.2,48.6,Austria,8.9,$476.80,1.6,1.9,"$59,111.00",4.7,1.5,"4,642.6",70.8
9,Azerbaijan,Azerbaijan,Europe,38,23,70.1,67.9,55.8,46.8,88.1,65.2,99.4,80.5,65.9,73.2,68.0,70,60,8.5,25.0,20.0,13.0,34.1,Azerbaijan,10.0,$187.30,2.3,0.4,"$15,001.00",5.5,2.6,"1,503.9",18.0
10,Bahamas,Bahamas,Americas,70,13,64.6,48.1,45.7,47.5,97.1,87.6,72.7,70.4,70.0,77.0,49.0,50,60,18.0,0.0,0.0,17.0,20.3,Bahamas,0.4,$12.80,1.8,0.9,"$37,266.00",10.4,1.3,636.7,63.3
11,Bahrain,Bahrain,Middle East and North Africa,40,4,69.9,71.5,65.8,64.4,100.0,67.1,0.0,76.7,71.4,82.8,83.6,75,80,5.7,0.0,0.0,1.1,33.1,Bahrain,1.6,$76.90,1.8,2.8,"$46,892.00",0.7,1.0,941.8,103.9
12,Bangladesh,Bangladesh,Asia-Pacific,120,25,56.5,38.0,35.4,27.7,84.0,93.8,66.3,55.6,68.8,69.9,63.4,45,30,10.8,30.0,25.0,8.8,14.3,Bangladesh,163.0,$838.60,7.9,7.5,"$4,951.00",4.2,5.7,"1,596.8",35.7
13,Barbados,Barbados,Americas,67,12,65.0,52.7,49.7,50.2,79.3,73.1,79.8,69.7,60.1,77.3,58.4,70,60,13.3,28.5,5.5,35.0,29.9,Barbados,0.3,$5.40,-0.1,0.9,"$16,287.00",10.3,4.1,215.4,119.5
14,Belarus,Belarus,Europe,95,43,61.0,58.6,40.4,39.8,92.9,55.5,96.5,75.9,75.7,70.2,76.0,30,20,4.5,13.0,18.0,14.7,38.5,Belarus,9.5,$195.10,1.2,0.1,"$19,943.00",4.6,5.6,"1,293.1",41.9
15,Belgium,Belgium,Europe,37,22,70.1,84.0,70.2,81.3,46.5,18.4,78.7,80.1,61.1,82.0,84.0,85,70,3.0,50.0,29.0,44.9,52.1,Belgium,11.5,$572.90,1.4,1.7,"$54,545.00",5.6,1.2,"9,706.9",99.0
16,Belize,Belize,Americas,114,21,57.5,41.8,45.7,36.3,78.7,64.7,68.5,60.0,54.2,80.2,55.0,55,50,17.5,25.0,25.0,29.7,34.3,Belize,0.4,$3.40,0.3,1.4,"$7,295.00",6.4,0.6,102.9,96.7
17,Benin,Benin,Sub-Saharan Africa,100,10,59.6,42.5,37.0,32.2,68.4,92.0,86.3,54.6,58.5,83.7,60.4,50,50,12.3,45.0,30.0,15.4,16.4,Benin,11.8,$40.60,6.4,4.8,"$3,424.00",2.2,-0.9,230.2,39.4
